Alpha-3 code,Name,Closest continent
ALA,Ã…land,Northern Europe
BES,"Bonaire, Sint Eustatius and Saba",North America
BVT,Bouvet Island,Seven seas (open ocean)
CCK,Cocos Islands,Seven seas (open ocean)
CXR,Christmas Island,Seven seas (open ocean)
ESH,Western Sahara,Africa
GLP,Guadeloupe,North America
GUF,French Guiana,South America
MTQ,Martinique,North America
MYT,Mayotte,Africa
PSE,Palestina,Asia
REU,Reunion,Seven seas (open ocean)
SJM,Svalbard and Jan Mayen,Northern Europe
SSD,South Sudan,Africa
TKL,Tokelau,Oceania
XAD,Akrotiri and Dhekelia,Asia
XCA,Caspian Sea,NA
XCL,Clipperton Island,North America
XKO,Kosovo,Europe
XNC,Northern Cyprus,Asia
XPI,Paracel Islands,Asia
XSP,Spratly Islands,Asia
DNK,Denmark,Northern Europe
FIN,Finland,Northern Europe
ISL,Iceland,Northern Europe
NOR,Norway,Northern Europe
SWE,Sweden,Northern Europe
